text,Label,Score
awesome vid,1,0.9998481273651124
wait four cats four crazy cat man,0,0.9970335960388184
kangaroos steroids weird pets person meth getting arrested xd interesting,1,0.9728941917419434
he39ll fuck,0,0.8062646389007568
kangaroo pet,0,0.6490091681480408
rays beard looks like girlfriends vagina,0,0.9884797930717468
flexin ya beard,1,0.8241847157478333
links like us facebook twitter google knife google i39m ray william johnson approve message,1,0.9909349083900452
da faq even kangaroo exist doesn39t look real,0,0.999761998653412
holy fuck ray look like even bigger douche bag lose beard bitch,0,0.9984721541404724
supporter beard mister johnson,1,0.9884336590766908
even fuck ray,0,0.9954956769943236
shiet,0,0.9721943140029908
rewind,0,0.999297261238098
meth one hell drug,0,0.9663283228874208
hey rey ask dont shave,0,0.9513412117958068
kangaroo jacked,0,0.949476718902588
send videos,0,0.998607337474823
kangaroo might disorder fat turns muscle,0,0.9968791007995604
everyone thinks arrest harsh dad used missouri highway patrol woulda kicked guys ass arrested,0,0.99528968334198
female kangarooes pouches,0,0.7282657027244568
missed great opportunity say kangaroo jacked damn ray,0,0.9996891021728516
href hilarious xd,1,0.9874268770217896
91st,1,0.8033307790756226
quotmeoquot cat,0,0.9808943867683412
wwow kangarow,0,0.9815736413002014
totally nailed wizerd gundarr href doppelgangsta39s paradise,0,0.9482415914535522
guess jack hasbputs sunglasses onb jacked much,1,0.8891347646713257
wo pig sooie,1,0.8936134576797485
welcome australia kangaroo normal p,1,0.9990136623382568
brutal police states shows people afraid never go america,0,0.9610416889190674
hi ray beard november,1,0.9692594408988952
welcome australia,1,0.9998095631599426
please done endd show,0,0.5149701833724976
kangroo myostatin deficiency guess,0,0.9992161989212036
koala koala bear,0,0.974543571472168
name equals three episode quotafter shiatquot,0,0.9979173541069032
aussies look like,1,0.9929656982421876
bfacepalmb don39t call koala bears they39re koalas,0,0.9953232407569884
even spot bro,0,0.975592851638794
one funnyredheart,0,0.9884743094444276
video kangaroo roids like one characters video game overgrowthbr,0,0.9984588623046876
kangaroo looks like doublemuscling mutation represses myostatin protein consequently augmenting muscle growth it39s genetic mutation nothing worry happens dogs cattle,0,0.988631784915924
oh god expression methead damn funny,0,0.9980798959732056
yay ray got fire backlast episode acted like forced make video he39s awesomely happy,1,0.9993543028831482
theres spot wall must brothers er soometheene,1,0.9645789265632628
best one yet,1,0.9998568296432496
like cop holds pistol like fps game,1,0.9014239311218262
didn39t bleep,0,0.994122326374054
funnyest ep i39ve seen long time ray,1,0.9966061115264891
omg ray william johnson muslim muslim beard,0,0.9713978171348572
started buffer href kinda strange,0,0.998562753200531
kangaroo tho,0,0.9628301858901978
that39s laundry basket,0,0.9947218894958496
holy shit kangaroo beast bet would badass boxing ring,0,0.8805752992630005
equals three,1,0.9792724251747132
quotyo dude sorry hear got neutered lemme fix youquot,0,0.9958178400993348
kind glad live america deal kangaroos steroids,1,0.9913873076438904
uploaded romantic valentine39s day look channel that39s perfect you39re going restaurants dim yellow lightings would mean world check don39t subscribe want people give chance thank time,1,0.9983394145965576
dont whay,0,0.9935077428817748
ah want pet squirrel,0,0.995640993118286
koalas aren39t bears,0,0.9916861653327942
episode hilarious,1,0.9998726844787598
every video 9gag tv way,0,0.9974810481071472
yeah href fart omg yes,0,0.9799973964691162
kangoroos flex intimidate kangoroo males mate it39s natural thing,1,0.997970163822174
loved ep much dd roflmao,1,0.9997281432151794
da f,0,0.9401711225509644
fucker,0,0.9967628717422484
main problem cop took hands wheel high speed chase,0,0.9992595314979552
kangaroo incredibly disturbing,0,0.9919454455375672
nothing say squirrel don39t meannuttin say,0,0.9961594343185424
lol quothiding nuts laundry basketquot href,0,0.9985300302505492
kangaroo juicing,0,0.9882700443267822
facewithtearsofjoyfacewithtearsofjoylol,0,0.6970565319061279
ray satan trying send message number cideos you39ve uploaded,0,0.996113657951355
u try videos like,0,0.9989936947822572
wonder sports announcer taiwan would say kangaroo,0,0.8521198034286499
haven39t watched one videos years hell grow beard,0,0.9958820343017578
come take look channel x,1,0.6100955009460449
arkansas yet i39m still fucked state,0,0.998584508895874
last video makes think video could made rooster teeth immersion fps game,0,0.9957204461097716
squaids,0,0.9943476319313048
damn noticed ana credits quotflufferquot big rob quotfirst associate chief exorcismsquot lol,0,0.9528657793998718
4 cats,1,0.9826656579971312
serious nomination funniest episode evah,1,0.9996830224990844
href darth vader xd,0,0.9716829657554626
hey ray thing koala bear sayin39,0,0.9831959009170532
hahah quotdo even fuck broquot,0,0.9957551956176758
fuck going kangaroo,0,0.9992035031318665
um looks like arabian beard,0,0.9542535543441772
dude gets stopped police officer pack wolves rum,0,0.997603476047516
australia ancient people land call quotturkey sausagequot,0,0.983551561832428
laughing ass last videos xd brray don39t stop making 3 it39s better comedy quotcomediansquot,1,0.9516634941101074
found kangaroo roger tekken,0,0.7416874766349792
steroids,0,0.9788522124290466
kangaroo video big worldstar,1,0.969935655593872
130th,1,0.9962474703788756
man he39s kangaroo jacked,0,0.989310383796692
see youve watched vitalys videos ray,0,0.9768335819244384
i39m loving beard ray,1,0.9978971481323242
4 cats wtf,0,0.9830081462860109
70th,1,0.9979922771453856
href farted,0,0.9987583160400392
cute video clip squirrel lolol awesome buff kangaroo haha,1,0.9981675148010254
bring back music videos,1,0.9984917640686036
koala bear it39s marsupialbrbr,0,0.9981813430786132
ray flexed could hear fart,0,0.9949841499328612
guy got pulled may mental problem,0,0.99806410074234
first nope 99th,0,0.9944698810577391
ray squirrel rescue baby that39s girls keep pet felt comfortable place rescuer felt love mean wouldn39t love squirrel pet cute,1,0.9711687564849854
don39t turn around kangaroo punchbrget donkey punch haha fuck,0,0.9886038303375244
hahahhahahahahahhah tries cover nuts xd,0,0.9992641806602478
href quotfirst associate chief exorcisms big robquot,0,0.9915238618850708
21st commet woot,0,0.9883335828781128
june 3 2019 ayfirefirefire,1,0.8046186566352844
woah i39m first comment,0,0.9948148131370544
bring back yfm please,1,0.9958829879760742
hell fluffer anyway,0,0.9994657635688782
119,1,0.9886705875396729
check ironman animation,1,0.9989217519760132
totally try meth know start weed wacker sat winter revs like crazy couple minuets imagine,0,0.8604851365089417
wtf ray methgt,0,0.9885386824607848
639th video,0,0.8969087600708008
16th,1,0.9800707697868348
dog named spot xd,0,0.9438156485557556
friend showed kangaroo video saturday told follow,1,0.9815846681594848
dog39s like brdude,0,0.997704803943634
anyone read credits quite laugh times,1,0.995997667312622
spartacus u r one idiot hate ya rwj awesome,1,0.9975714087486268
fk given fishing police officer,0,0.9978845715522766
