,text,Label,Score
0,super kangaroo jacked,NEGATIVE,0.9905241131782532
1,arkansas don39t play man,NEGATIVE,0.976599395275116
2,kangaroo listens nba young boy,POSITIVE,0.9686216115951538
3,whos watching 2001,POSITIVE,0.9969611763954164
4,ray making new show youtube made recap 3 videos like one won39t forget fucking kangoroo,NEGATIVE,0.9811485409736632
5,approve message lol even know bra,POSITIVE,0.9989055395126344
6,kangaroo didnt even look normal see way flexing muscles play bro,NEGATIVE,0.9807357788085938
7,href lol,NEGATIVE,0.9924692511558532
8,el camino,POSITIVE,0.9938086867332458
9,best videos rewatch drunk gonna lie may wasted,NEGATIVE,0.6462202072143555
10,kangaroo remainds ricardo milosgrinningfacewithsweatfacewithtearsofjoyfacewithtearsofjoy,NEGATIVE,0.9091589450836182
11,super video ray excellenti new youtuber,POSITIVE,0.9994675517082214
12,live arkansas,NEGATIVE,0.9885956645011902
13,june 3 2019 ayfirefirefire,POSITIVE,0.8046186566352844
14,quotdo even fuck bro quot,NEGATIVE,0.9938812255859376
15,goddamn funny lost said might cell mate facewithtearsofjoyfacewithtearsofjoy,NEGATIVE,0.9954311847686768
16,dude last vid insanity,NEGATIVE,0.9983951449394226
17,2019,POSITIVE,0.8670563697814941
18,4 years last real ray episode equals 3,NEGATIVE,0.9706780910491944
19,y39all watching 2018,NEGATIVE,0.8751879930496216
20,deez nuts,POSITIVE,0.5115334391593933
21,2017 december 19th,POSITIVE,0.9929139614105223
22,god bless great day,POSITIVE,0.9998670816421508
23,u e v e n f u c k b r,POSITIVE,0.5722533464431763
24,he39s wearing sweater shiet part,NEGATIVE,0.9869101643562316
25,href goddammit arkansas,NEGATIVE,0.9900602102279664
26,watching 2017,NEGATIVE,0.9885091185569764
27,who39s watching 2017,NEGATIVE,0.9629807472229004
28,whos watching 2017 like,NEGATIVE,0.9586553573608398
29,watching 2017 fact said squirrel quotis trying bury nut dogquot seriously mindblowing,POSITIVE,0.9662820100784302
30,39 2017,POSITIVE,0.9399722814559937
31,hide nuts laundry basket 2,NEGATIVE,0.9953745007514954
