comment_id,video_id,text,Label,Score
Ugxwyq6x4LC7cSNn2N14AaABAg,3JZ_D3ELwOQ,He was super Kangaroo Jacked!,NEGATIVE,0.9905241131782532
Ugzifx090RDuQCZf7Ol4AaABAg,3JZ_D3ELwOQ,Arkansas don&#39;t play man,NEGATIVE,0.976599395275116
UgxcfPMtewKBQ4BGt9l4AaABAg,3JZ_D3ELwOQ,kangaroo listens to NBA young boy,POSITIVE,0.9686216115951538
UgzeB8b41WQO5wtLUvx4AaABAg,3JZ_D3ELwOQ,Who’s watching in 2001,POSITIVE,0.9969611763954163
UgxXmi7tm2DwumfZpMd4AaABAg,3JZ_D3ELwOQ,Ray making a new show on Youtube made me recap some =3 videos like this one. Won&#39;t forget this fucking kangoroo.,NEGATIVE,0.9811485409736633
UgwsyDW15AOcpJ3uTuV4AaABAg,3JZ_D3ELwOQ,i approve this message!! lol do you even know bra!,POSITIVE,0.9989055395126343
UgyfMQWZU_5MnFiCgJN4AaABAg,3JZ_D3ELwOQ,That kangaroo didn’t even look normal and did you see the way he was flexing his muscles play bro,NEGATIVE,0.9807357788085938
Ugyo0CAPxWpCAe7T6W94AaABAg,3JZ_D3ELwOQ,"<a href=""https://www.youtube.com/watch?v=3JZ_D3ELwOQ&amp;t=34"">0:34</a> lol",NEGATIVE,0.9924692511558533
UgxpZ0Brvd8deaoUpkJ4AaABAg,3JZ_D3ELwOQ,El Camino,POSITIVE,0.9938086867332458
UgzCinbJJ2a-elr8Zqx4AaABAg,3JZ_D3ELwOQ,"best videos to rewatch while drunk. not gonna lie, I may be wasted",NEGATIVE,0.6462202072143555
Ugy-EvTSSFZ1p76Ci1x4AaABAg,3JZ_D3ELwOQ,This kangaroo remainds me of ricardo milos😅😂😂,NEGATIVE,0.9091589450836182
UgwBbl2sTeLAW7zAdjF4AaABAg,3JZ_D3ELwOQ,super video ray excellent..i m new youtuber.,POSITIVE,0.9994675517082214
UgzIsp2LxZ8ZHp9TM_t4AaABAg,3JZ_D3ELwOQ,Why do I live in Arkansas,NEGATIVE,0.9885956645011902
